	6142
2013nbachamps	2
2kmr	1
305tillidie	2
80s	2
8fthoop	1
98daystilhoosierhysteria	4
aaronhernandez	1
abc	1
abcnews	1
abouttime	2
aca	1
acefaceheadline	1
adidas	4
adriianwb	1
aggiefootball	1
angelofstern	2
annualtradition	1
atlhawks	4
awesomeguy	1
ballinwithdatbeat	2
baloncesto	1
baseball	2
basket	1
basketball	7
basketballneverstops	4
basketballvoornietkenners	1
basketballwithdrawals	1
basketlol	1
bbba	1
beatheheatisover	1
becauseitsthecup	4
bedtime	11
believe	1
bet	1
big	2
birdman	2
birthday	1
blazers	1
blessit	1
bmore	1
breaking	2
bruins	1
bubba	1
buchibskillzs	1
bucksfishing	1
bulls	6
bullsnation	7
bum	1
callcobradick	1
cardsramsbluesbillikinsmizzouillini	1
cavs	2
cavsdraft	6
cawcaw	2
celtics	3
champions	4
championshipfriday	3
champs	1
champssports	8
chingamivida	1
chos	1
chrisandersen	1
chrisbosh	1
cigar	1
clevelandbound	1
clippers	3
clutch	12
coachk	1
cocky	2
comeinclutch	1
confused	1
congrats	1
congratsmiamiheat	1
conloscalderos	1
conlosenanos	2
conspiracy	2
cowboysbaby	1
curse	1
cws	4
czfm	10
daenrique425	1
dallas	2
damn	1
dangled	2
dannybuoys	1
darnnnnnn	1
deportes	6
deportistas	1
desperate	1
docalypse	1
dodgernation	2
drake	2
dryspor	1
drysportsperiod	1
dukefamily	2
dwade	3
ejemplosdeperfeccion	3
elite	2
enfilita	3
enjoy	1
ennþábitur	1
enoughsaid	1
envivo	2
escuchorcn	2
espn	3
exito	2
facebook	3
false	1
fb	3
featured	13
feel	2
ff	14
fiat	3
fielinks	1
filipinoproblems	26
finals	1
finalwerefixed	1
finaly	1
fixed	1
flashbackfriday	2
flipando	1
followarealsport	1
formermissuniverse	1
friday	1
friskyfriday	16
fuegosonfriday	1
g	1
game7	23
gameover	1
gators	2
ge3	1
genuisandclueless	2
gingerkid	1
goblue	9
gocavs	2
gohawks	1
goheat	1
goodideas	1
gopher	1
gospursg	1
gospursgo	1
gosteelers	1
grandslam	2
greatness	1
greatsportsman	1
guarderíaabc	4
haitians	1
hannnnn	1
harden	1
heaintnosuperstar	1
heat	100
heatchamps	7
heatgang	1
heatlive	1
heatnation	15
heatrepeat	17
heatvsspurs	1
heatwave	1
hegotfriends	2
hip	1
hiphop	1
hmm	1
hometeam	1
hoops	1
horrible	1
howyoukeepaman	3
humor	4
ifwt	17
ifwtcatchup	6
imapseudointellectual	1
imjustsayin	1
impressive	2
imustbelucky	1
infocine	1
infomusic	1
intheherd	2
invalid	1
irrelevant	1
iubb	5
jaymohrsports	5
jayz	1
jazz	1
joelanthony	1
joke	3
jordan	1
jordanisjordan	1
jugando	1
justacceptit	4
k	1
keen	1
keepinitrealsports	5
kelowna	1
kfhradio	1
kiacommunityassist	2
killme	1
king	2
kingjames	7
kinglebron	1
knicks	1
knicksfollowtrain	1
koko_tsr	1
lakerfan	1
lakers	1
lbj	2
lebrom	5
lebron	16
lebronjames	3
lebronlegacy	1
lebronslegacy	5
legend	4
letsgoheat	9
letsgoheats	1
lettheteamsrunthemselves	1
levels2thi	1
levels2thisshit	1
lfc	22
likeabosh	3
livelikebella	2
livewire	2
lmao	1
lol	1
lost	2
lovethegame	1
lsukin4515	1
manu	2
maramingganyansatwitter	1
marketingmatters	1
mexico	1
mi	1
miami	7
miamiheat	87
miamiheatrocks	1
miamiheatwins	1
miamipride	2
miamitwice	1
michaeljordan	2
mine	1
miz	1
mlb	1
mojitos	1
morethanstats	1
motivationaltweet	2
movingontonflsoon	1
mrfranknobulto	1
music	3
mvp	9
mycrush	1
nb	5
nba	567
nba2k12	1
nba2k13	1
nba2k14	4
nba4arab	1
nbaallstar	2
nbachampions	1
nbadraft	2
nbaespn	1
nbaextra	5
nbafinal	1
nbafinals	155
nbafit	2
nbafrance	6
nbalive14	2
nbarigged	1
nbaslo	1
nbatv	1
nbawithdrawals	1
neverbrokeagain	1
nevergiveup	16
newera	1
neworleans	1
newsemercato	1
nfl	3
nhl	5
nhlfinals	1
nhlinseattle	1
nohd	1
nokidhungry	2
nola	1
nomnom	2
nomorebaseballprobz	2
nomorenba	1
nonewfans	1
nooo	1
northwest	1
not	3
nothumble	1
noticias	2
notimpressed	2
notinmyhouse	1
noveleriaecuatorianapura	2
nowplaying	1
ns	9
nuffsaid	2
nuggets	8
nw	1
obsessed	1
ohwait	1
ohwell	1
oklahomacitythunder	1
ola3po	1
orgasmo	1
orlandojou	1
orlandojouvert	1
orlandojouvert13	2
pacers	1
paparabiia	6
pasiontv	2
pause	6
pazsemvandalismo	2
pelicans	1
perfect	1
philly	1
playoff	3
pleaseexplain	2
popknowsbest	1
porsiteloperdiste	4
probablynot	1
prophet	1
quefeoes	6
quietdistaste	1
radioactive	1
raptors	1
realestate	1
realpowerteam	1
reasonstowatchsmackdown	2
recap	1
redsox	1
reheat	1
repeat	2
repost	1
represent	1
respect	3
rigged	4
right	1
rns	2
rt	4
rw	2
salute	1
sanantonio	1
savedman	1
seasonover	1
seattle	1
shabbatshalom	1
shaketheblock	1
showbiz	2
sicem	2
singapore	2
sixers	1
slamnewswire	9
slamtv	10
smacktalksports	1
smirnoff	1
smsports	2
socialmedia	1
sorryboutcha	1
sour	1
spoelstra	1
sports	10
sportsaccess	2
sportsbuzz	1
sportsguy	2
sportsnews	1
spurs	9
spursnation	5
spursproud	2
spursvsheat	1
staydwight	1
storylined	4
stricklysick	1
strongisland	1
suckitspurs	1
suns	1
sunsdraft	2
suspect	1
tagalongs	1
takingmytalentstodc	1
talkaboutsomethingelse	1
tapón	1
tattawards2013	1
tawa	1
taxsupport	1
tbj	10
teachmorethanbasketball	1
teamantiheat	1
teamdrizzy	1
teamheat	7
teamheatbitch	1
teamwade	1
tfm	2
thankyoucrawford	1
thatslife	1
thatstheshitilike	1
thebeac	1
